date,env_interaction_score,base_risk_score,monsoon_flag,humidity_streak_days,rainfall_streak_days,variety_susceptibility,crop_age_months,infected_sett_flag,susceptibility_factor,crop_stage_factor,infection_factor,final_risk_score,risk_level,early_warning,advisory_message
2005-02-10,0,0.18638214285714289,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08051708571428572,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-11,0,0.18987857142857142,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08202754285714284,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-12,0,0.19356071428571428,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08361822857142855,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-13,0,0.19519999999999998,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08432639999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-14,0,0.19702857142857141,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08511634285714283,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-15,0,0.19760714285714281,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08536628571428567,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-16,0,0.19838214285714287,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08570108571428571,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-17,0,0.19738214285714284,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0852690857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-18,0,0.1942785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08392834285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-19,0,0.19187857142857145,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08289154285714286,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-20,0,0.1909392857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08248577142857141,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-21,0,0.18639999999999998,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08052479999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-22,0,0.17982142857142858,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07768285714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-23,0,0.17316785714285715,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07480851428571429,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-24,0,0.16917142857142856,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07308205714285712,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-25,0,0.16565714285714286,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07156388571428571,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-26,0,0.16471785714285717,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0711581142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-27,0,0.16553571428571426,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07151142857142855,LOW,0,Low risk. Maintain standard crop management practices.
2005-02-28,0,0.17157500000000003,0,1,0,0.7,6,0,1.2,1.2,1.0,0.0741204,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-01,0,0.17963571428571432,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07760262857142858,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-02,0,0.1862642857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0804661714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-03,0,0.1904714285714286,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08228365714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-04,0,0.19460714285714287,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08407028571428571,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-05,0,0.19812857142857143,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08559154285714284,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-06,0,0.19845357142857142,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08573194285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-07,0,0.19601785714285713,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08467971428571426,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-08,0,0.19484285714285712,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08417211428571426,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-09,0,0.19341785714285717,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0835565142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-10,0,0.1918142857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0828637714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-11,0,0.19068571428571426,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08237622857142855,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-12,0,0.1860214285714286,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08036125714285713,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-13,0,0.18171785714285713,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07850211428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-14,0,0.17838928571428572,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07706417142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-15,0,0.1767642857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07636217142857142,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-16,0,0.176525,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07625879999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-17,0,0.1787035714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07719994285714284,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-18,0,0.18182857142857142,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07854994285714284,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-19,0,0.18793214285714288,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08118668571428572,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-20,0,0.19455714285714287,0,2,0,0.7,6,0,1.2,1.2,1.0,0.08404868571428571,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-21,0,0.19946785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08617011428571428,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-22,0,0.2019107142857143,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08722542857142856,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-23,0,0.20499642857142855,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08855845714285712,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-24,0,0.2044892857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08833937142857141,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-25,0,0.20140000000000005,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08700480000000001,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-26,0,0.1978357142857143,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08546502857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-27,0,0.19720714285714283,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08519348571428569,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-28,0,0.19821428571428573,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08562857142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-29,0,0.19947499999999999,0,2,0,0.7,6,0,1.2,1.2,1.0,0.08617319999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-30,0,0.19751785714285716,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08532771428571428,LOW,0,Low risk. Maintain standard crop management practices.
2005-03-31,0,0.19600357142857142,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08467354285714283,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-01,0,0.19600357142857142,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08467354285714283,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-02,0,0.19805,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08555759999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-03,0,0.19795357142857142,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08551594285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-04,0,0.1969464285714286,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08508085714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-05,0,0.1963,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08480159999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-06,0,0.1982107142857143,0,2,0,0.7,6,0,1.2,1.2,1.0,0.08562702857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-07,0,0.203075,0,3,0,0.7,6,0,1.2,1.2,1.0,0.08772839999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-08,1,0.4587285714285715,0,4,0,0.7,6,0,1.2,1.2,1.0,0.1981707428571429,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-09,1,0.45875,0,0,0,0.7,6,0,1.2,1.2,1.0,0.19818,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-10,0,0.20454285714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08836251428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-11,0,0.20083214285714288,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08675948571428573,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-12,0,0.1973928571428571,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08527371428571426,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-13,0,0.19320357142857145,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08346394285714286,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-14,0,0.18976428571428575,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08197817142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-15,0,0.18761785714285714,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08105091428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-16,0,0.1864785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08055874285714283,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-17,0,0.1884035714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08139034285714283,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-18,0,0.19115000000000001,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08257679999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-19,0,0.19368571428571424,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08367222857142854,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-20,0,0.19702142857142857,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08511325714285713,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-21,0,0.19784285714285715,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08546811428571428,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-22,0,0.19755357142857144,0,1,0,0.7,6,0,1.2,1.2,1.0,0.08534314285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-23,0,0.19879285714285713,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08587851428571426,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-24,0,0.19764642857142856,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08538325714285713,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-25,0,0.19519999999999998,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08432639999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-26,0,0.19322499999999998,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08347319999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-27,0,0.19041428571428576,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08225897142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-28,0,0.1896857142857143,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08194422857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-29,0,0.188875,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08159399999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-04-30,0,0.18951428571428572,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0818701714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-01,0,0.19500714285714285,0,1,0,0.7,6,0,1.2,1.2,1.0,0.0842430857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-02,0,0.19933214285714285,0,2,0,0.7,6,0,1.2,1.2,1.0,0.0861114857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-03,0,0.20203214285714288,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08727788571428573,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-04,0,0.20334642857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08784565714285712,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-05,0,0.2035,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08791199999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-06,0,0.2029321428571429,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08766668571428572,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-07,0,0.20062142857142856,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08666845714285713,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-08,0,0.1946142857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08407337142857142,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-09,0,0.18862500000000001,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08148599999999999,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-10,0,0.18451071428571428,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07970862857142856,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-11,0,0.18277142857142856,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07895725714285713,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-12,0,0.18195714285714285,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0786054857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-13,0,0.1815142857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07841417142857142,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-14,0,0.18201071428571428,0,0,0,0.7,6,0,1.2,1.2,1.0,0.07862862857142856,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-15,0,0.18577142857142856,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08025325714285712,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-16,0,0.18992142857142855,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08204605714285712,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-17,0,0.19284285714285715,0,0,0,0.7,6,0,1.2,1.2,1.0,0.08330811428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-18,0,0.19378214285714285,0,0,0,0.7,6,0,1.2,1.2,1.0,0.0837138857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-19,1,0.44589285714285715,0,1,0,0.7,6,0,1.2,1.2,1.0,0.19262571428571426,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-20,1,0.44858571428571425,0,2,0,0.7,6,0,1.2,1.2,1.0,0.19378902857142855,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-21,1,0.4499285714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.19436914285714285,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-22,1,0.4502892857142857,0,0,0,0.7,6,0,1.2,1.2,1.0,0.1945249714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-23,1,0.45225714285714286,0,1,0,0.7,6,0,1.2,1.2,1.0,0.1953750857142857,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-24,1,0.4541,0,2,0,0.7,6,0,1.2,1.2,1.0,0.19617119999999996,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-25,1,0.45486785714285716,0,0,0,0.7,6,0,1.2,1.2,1.0,0.1965029142857143,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-26,1,0.4543785714285714,0,0,0,0.7,6,0,1.2,1.2,1.0,0.19629154285714284,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-27,1,0.453125,0,0,0,0.7,6,0,1.2,1.2,1.0,0.19574999999999998,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-28,1,0.4541642857142857,0,1,0,0.7,6,0,1.2,1.2,1.0,0.1961989714285714,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-29,1,0.45430000000000004,0,0,0,0.7,6,0,1.2,1.2,1.0,0.1962576,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-30,1,0.4536428571428572,0,0,0,0.7,6,0,1.2,1.2,1.0,0.19597371428571428,LOW,0,Low risk. Maintain standard crop management practices.
2005-05-31,1,0.45346785714285714,0,1,0,0.7,6,0,1.2,1.2,1.0,0.19589811428571427,LOW,0,Low risk. Maintain standard crop management practices.
2005-06-01,1,0.45344285714285715,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6529577142857143,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-02,1,0.452275,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6512759999999999,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-03,1,0.45194642857142864,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6508028571428572,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-04,1,0.45179642857142854,1,1,0,0.7,6,0,1.2,1.2,1.0,0.650586857142857,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-05,1,0.4508142857142857,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6491725714285713,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-06,1,0.4508892857142857,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6492805714285714,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-07,1,0.4501857142857143,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6482674285714285,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-08,1,0.44775714285714285,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6447702857142856,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-09,1,0.44485,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6405839999999999,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-10,1,0.4416321428571428,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6359502857142857,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-11,1,0.44085714285714284,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6348342857142857,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-12,1,0.44033214285714284,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6340782857142856,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-13,1,0.43950357142857144,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6328851428571428,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-14,1,0.43961428571428574,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6330445714285714,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-15,1,0.44451428571428575,1,1,1,0.7,6,0,1.2,1.2,1.0,0.6401005714285715,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-06-16,2,0.6976321428571428,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-17,2,0.7020678571428571,1,1,1,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-18,2,0.7041964285714286,1,2,2,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-19,3,0.9566357142857143,1,3,3,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,1,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-20,3,0.9577285714285714,1,4,4,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,1,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-21,3,0.9571642857142857,1,0,5,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,1,High risk due to continuous rainfall enabling pathogen spread. Ensure drainage and initiate protection measures.
2005-06-22,3,0.9551928571428572,1,0,6,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,1,High risk due to continuous rainfall enabling pathogen spread. Ensure drainage and initiate protection measures.
2005-06-23,3,0.9556071428571429,1,0,7,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,1,High risk due to continuous rainfall enabling pathogen spread. Ensure drainage and initiate protection measures.
2005-06-24,2,0.7041321428571428,1,0,8,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High risk due to continuous rainfall enabling pathogen spread. Ensure drainage and initiate protection measures.
2005-06-25,2,0.7016178571428571,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-26,2,0.6993571428571429,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-27,2,0.698525,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-28,2,0.6983035714285715,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-29,2,0.6985571428571429,1,0,1,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-06-30,2,0.6995750000000001,1,1,2,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-01,2,0.6998857142857142,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-02,2,0.6999892857142858,1,0,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-03,2,0.7012107142857142,1,0,1,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-04,2,0.7023071428571429,1,1,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-05,1,0.45352499999999996,1,2,0,0.7,6,0,1.2,1.2,1.0,0.6530759999999999,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-06,1,0.45438214285714285,1,3,0,0.7,6,0,1.2,1.2,1.0,0.6543102857142856,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-07,1,0.4540142857142857,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6537805714285713,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-08,0,0.20490357142857143,1,1,0,0.7,6,0,1.2,1.2,1.0,0.29506114285714286,LOW,0,Low risk. Maintain standard crop management practices.
2005-07-09,1,0.4567785714285714,1,2,0,0.7,6,0,1.2,1.2,1.0,0.6577611428571428,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-10,1,0.45786785714285716,1,3,0,0.7,6,0,1.2,1.2,1.0,0.6593297142857142,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-11,1,0.4578285714285714,1,4,0,0.7,6,0,1.2,1.2,1.0,0.6592731428571429,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-12,1,0.4574857142857143,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6587794285714285,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-13,1,0.456975,1,0,0,0.7,6,0,1.2,1.2,1.0,0.658044,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-14,1,0.45729999999999993,1,0,0,0.7,6,0,1.2,1.2,1.0,0.6585119999999999,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-15,1,0.457275,1,1,0,0.7,6,0,1.2,1.2,1.0,0.658476,MEDIUM,0,Moderate risk. Monitor weather conditions and prepare preventive measures.
2005-07-16,2,0.7072071428571428,1,2,1,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-17,2,0.7079857142857142,1,3,2,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-18,2,0.7098428571428571,1,4,3,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-19,2,0.7109964285714285,1,5,4,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
2005-07-20,2,0.7119785714285715,1,6,0,0.7,6,0,1.2,1.2,1.0,1.0,HIGH,0,High outbreak risk under favorable environmental conditions. Immediate field inspection required.
