Month,Temp_Min_C,Temp_Max_C,Temp_Avg_C,Rainfall_Total_mm,Rainfall_Seasonal_mm,Humidity_%,Solar_Radiation_MJ_m2_day,Sunshine_Hours_hh_mm,Wind_Speed_kmph,Evapotranspiration_mm_day,Dew_Point_C,Heat_Stress_Days,Frost_Days,Soil_Type,Soil_pH,EC,Organic_Carbon_%,Soil_Moisture_%,Sand_%,Silt_%,Clay_%,Soil_Depth_cm,Water_Holding_Capacity_%,Nitrogen_kg_per_acre,Phosphorus_kg_per_acre,Potassium_kg_per_acre,Zinc_mg_per_kg,Iron_mg_per_kg,Copper_mg_per_kg,Manganese_mg_per_kg,Sulfur_kg_per_acre,Irrigation_Frequency_Level,Water_Quantity_liters_per_acre,Irrigation_Method_Type,Groundwater_Level_meters,Water_Quality_Category,Planting_Date,Harvesting_Date,Crop_Duration_Days,Seed_Rate,Row_Spacing_cm,Row_Gap_cm,Plant_Density,Intercropping,Weed_Control,Soil_Condition_At_Planting,Planting_Method,Mulching,Fertilizer_Split,Drainage_Condition,Variety,Germination_%,Tillering_Count,Cane_Height_cm,Cane_Diameter_cm,Internode_Length_cm,Brix_Value,Disease_Type,Disease_Severity,Pest_Level,Pesticide_Usage,Fertilizer_Type,Fertilizer_Quantity,Application_Timing,Machinery_Use,Labor_Input,Latitude,Longitude,Altitude_m,State,District,Tehsil,Agro_Cluster,Khasra_No,Sugar_Mill,Region,Year,Season,Growth_Stage,Yield_Quintal_per_Acre
Oct,21.855906603548082,30.686062076607218,25.504717771029405,1249.5935594151606,929.6987525082303,78.61182647429857,26.022102465118394,5:16,14.047999094929185,,24.63270049277147,8.0,7.0,Sandy,6.143268981321148,2.27313331443746,1.2776884394950185,28.761718903762933,,,22.263199663952363,199.2278947319651,50.613863231372164,139.57051039134018,81.58610572350284,191.0128415883471,3.10930711432891,3.576410757757829,2.901670074629611,7.020063703979465,29.330598275486373,High,1124.2866172325037,Flood,16.6233502097565,Moderate,2021-12-26 10:06:11,2022-07-23 21:51:31,330.0,12.941362211784407,108.0009097032895,80.86739765068108,56055.84596070795,No,Manual,Dry,Straight Row,Yes,Single,Good,CoJ64,77.34164395012813,5.0,,4.465547479969675,22.63329196917342,20.519885587175303,None,Low,High,9.663492941079909,Urea,196.6959043459738,Early,Yes,28.92815208130248,30.092766170763742,,305.866859786467,Uttarakhand,Haridwar,Roorkee,Landaura_Cluster,6893.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Rabi,Early,279.0004664419533
Sep,23.762773553628207,34.986109282398736,27.274094958613787,1762.8326611789735,565.4252474592961,70.25645228088644,16.803984329831994,7:26,4.600936010607113,5.815891106775203,11.51698007019918,29.0,8.0,Alluvial,6.894205274899189,0.25861897494993064,0.7926833112554377,13.238242860147423,21.803621521852683,11.898050563098083,30.91201816670721,122.54374617120688,56.45568123152301,249.1266702683538,35.84881950015428,153.03417578858185,4.460477528245519,6.430330441016853,2.6864129251995825,4.607223764797957,5.750161644168107,,669.0079410105579,Drip,17.09474153192541,Good,2020-10-03 16:25:52,2023-08-09 21:37:22,327.0,5.397011269710045,108.93460390941644,80.94916815025513,87247.83641501196,Yes,Chemical,Moist,Circular,Yes,Single,Good,CoJ64,74.77909454251215,14.0,202.5642898349567,3.7254716634945595,16.32231252086335,20.261615103106976,,Low,Medium,3.3675620442377108,DAP,252.12940304459337,Early,No,33.92230819082111,29.9163856833182,78.17758751536415,245.4711132139557,Uttarakhand,Haridwar,Roorkee,Narsan_Cluster,1189.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,,Mid,447.9507467332158
Oct,16.049548064609272,29.11028758979615,21.828072366569003,1095.4845214474512,761.7504836100691,60.56754290202108,16.590577212732185,9:44,10.291844647866913,7.3016489870543015,18.761582544157122,,1.0,Loamy,7.302164492505255,0.5892959421570763,1.1519708170459166,11.978493980199055,21.537859431527323,14.864218721153533,25.068457095323623,135.7428861891942,21.993241246228983,233.45165662557704,50.30927777301217,106.48284751460292,2.7017383392632364,2.04514829534918,1.6561558469828939,5.517167846697975,15.939806332678085,,1031.2400767500253,Drip,11.366151606441008,,2021-08-06 00:31:10,2022-07-21 07:46:41,262.0,10.966106198160933,64.99512184362646,103.56694276820178,117789.53787537366,No,Chemical,Wet,Trench,Yes,Split,Moderate,Co0238,98.62727013538773,,307.92870780928314,,12.729230430901142,18.75209208409203,,Low,High,3.165453904896526,Urea,105.60376794585578,Late,Yes,31.573446892688697,,78.26847674669197,345.9257439727632,Uttarakhand,Haridwar,Haridwar,Narsan_Cluster,9102.0,Uttam Sugar Mills Ltd,Uttarakhand,,Kharif,Mid,354.7746049505535
Feb,16.47423052458948,,24.400580465093988,983.7777003965089,1085.9508467758706,57.20089227456338,16.11071948420871,9:48,5.208345056658898,5.771871443682219,,24.0,7.0,Sandy,7.925968731586327,1.6592692422025657,1.2549421187221887,21.737529448880096,47.65889699830909,25.73672591216669,11.946603861433951,82.36293495849704,52.09952157083546,128.23304650459193,48.99925588665021,114.77749910549566,2.9253072916870506,8.865532152580423,2.467979015627524,,8.156753204104508,Medium,830.1786100401462,Flood,2.124587466073452,Moderate,2021-05-29 20:35:06,2023-09-19 22:48:29,301.0,14.088278154474501,85.93263148500532,79.62106207845916,116430.82995713822,Yes,Chemical,Wet,Circular,No,Split,Good,Co0238,98.74097384519416,7.0,246.46212345743427,2.3787098521073693,18.543102282879723,22.4053586794051,Smut,High,Medium,8.271421925039807,DAP,185.13819201449473,Late,Yes,15.361189175488255,29.95625959763159,78.25398305011076,330.86382109918804,Uttarakhand,Haridwar,Bhagwanpur,PiranKaliyar_Cluster,3026.0,Uttam Sugar Mills Ltd,Uttarakhand,2019.0,Kharif,Early,196.3974018160595
Aug,19.92920317241149,30.804989746641652,27.670750074563323,1615.8116795989422,604.6558425543477,61.10075162191363,25.800823128299086,9:12,6.037585871220612,5.688049407677866,11.152059657485545,25.0,1.0,Loamy,8.19508129195232,2.1953158618887323,1.3777452879261254,27.780986641279956,24.62207126055136,30.818524916011818,26.40205524222858,73.91200047512818,29.753681017784714,50.46944197018446,105.98511619030232,112.54605893997041,2.2047214149848937,8.507135790512265,2.966199345364053,5.05880761054861,10.46781603268559,,739.7310981050466,Sprinkler,8.498511888273276,Saline,2021-09-15 16:46:10,2023-11-24 04:15:47,337.0,10.529408641283418,89.60873905289927,81.76308568211253,113080.11633552122,No,Chemical,Dry,Circular,No,Single,Moderate,Co98014,96.35684614765283,7.0,219.87830276560328,3.9733566637915017,17.677453624354374,16.089366967916252,Red Rot,Medium,Medium,2.688919230048741,DAP,273.2094821554194,Late,No,39.99327687830609,29.9836389352159,78.12404358743086,347.5901014984787,Uttarakhand,Haridwar,Roorkee,Jwalapur_Cluster,2442.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Kharif,Late,181.1518666748896
Feb,23.865811890429814,32.95938467480931,27.739062217706653,888.8677813964438,605.4553326445218,52.820912055951844,27.620199956211728,8:35,10.720038477672905,3.334548091832894,10.239990420203531,22.0,4.0,Sandy,6.805173402462002,1.4464116487071532,0.4061692007746954,25.479018709092202,30.895404092105526,33.31016381487859,14.12253540533186,80.71320705617867,36.72597309597796,102.45000358378711,22.91717634232792,38.86224493699194,4.549481093902989,3.5206107786806093,2.0543475333065353,1.7908499582458783,16.861681570580544,High,1919.5757335606245,Flood,15.585531632746862,Moderate,2021-03-29 18:17:48,2023-03-07 17:33:49,391.0,9.690325038551467,118.32761287280498,92.90921384660177,106861.6786788587,No,Manual,Dry,Paired Row,No,Single,Moderate,,80.36985743211386,8.0,,2.1562240344249646,14.845291712661218,,Smut,Low,Low,3.95099354096455,Organic,180.66711734356997,Mid,No,24.886262471252078,29.89059817137138,78.2663533602985,319.23992132778613,,,Roorkee,Narsan_Cluster,7701.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Rabi,Late,240.1848312395183
Jan,11.643688539805723,18.692735909042764,15.533790161267074,1762.3568060270848,972.6556584310033,78.1725611031615,19.039772420389266,9:32,8.377193380871098,6.798661382930018,19.81711669947604,21.0,6.0,Clay,6.155327962994717,1.0271536419030625,0.8428126048377076,37.82334341629948,45.198922561874596,11.392753649907718,10.12077950820211,92.02337305737765,,63.528657899474524,52.56407321013201,129.4449608429778,1.4789701346275756,2.095509498957216,2.1483103453626593,2.3018265690643007,29.06135307976426,High,780.4374347224386,Sprinkler,7.630414926895973,Moderate,2023-04-02 01:00:08,2023-06-05 18:55:54,353.0,6.921357833812506,69.6611118592017,91.98856129427936,139435.28789796436,No,Chemical,Dry,Paired Row,Yes,Single,,Co98014,68.6139332772564,15.0,239.13194860185956,2.152969523748091,21.372959139295965,18.23785912839435,None,Medium,High,0.06422316538404971,Urea,260.14350336621237,Early,No,37.17798217401702,30.14154805585084,78.11465216757783,317.36787180597884,Uttarakhand,Haridwar,Haridwar,Iqbalpur_Cluster,6791.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Rabi,Early,100.04196685034591
Jul,26.731583008383097,37.3218045649456,32.92521391962919,1991.6224150547746,507.8673211617693,86.13821744312887,19.01336042590213,6:47,7.874044368838199,5.111033173267449,21.924629488156775,8.0,9.0,Sandy,7.388559383555268,1.7026130576544547,,24.916272626189237,41.67208021129759,11.535957719438821,19.26188143173778,169.34457182107343,51.50147459348625,222.2234568030349,85.59687408649842,128.79518140341182,2.6145868002540174,9.938696961990608,0.6709760650718705,,13.425225029602817,Low,,Flood,11.273864642158129,,2023-09-11 21:21:15,2023-10-24 04:15:57,336.0,13.939677032251476,114.23712025294913,75.1096310798989,108613.8816933184,Yes,Chemical,Moist,Paired Row,Yes,Single,Poor,Co0238,65.10019922052261,22.0,314.2247146543025,2.096892726231142,24.94629068816497,22.320434995183724,None,Medium,Low,,Urea,295.2734933590751,Late,No,43.858711537853495,29.857381454960535,78.09192427008588,312.8085475552961,Uttarakhand,Haridwar,Haridwar,Landaura_Cluster,4993.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Kharif,Early,395.8131695607074
Jun,36.02288074600668,45.28534059424588,41.78703252646868,1252.7933291626632,1037.9269808442957,78.6184106669899,24.830082077058325,9:01,2.1379007186036008,7.144466276509456,12.208307585771795,7.0,,Clay,8.203406868392884,1.870453879649534,1.042908113734782,31.42815383073087,31.913879691793422,12.045924299008377,30.21856543109679,185.2974313633207,45.23328351683044,90.50608394560386,28.970338703887126,175.1129499576834,3.7115934524170515,4.783124915106139,1.458066380226155,2.5506334226892777,27.27187848771001,Low,1207.2331317780872,Sprinkler,16.89512562975876,,2023-03-01 17:55:54,2021-12-26 18:15:05,302.0,6.47509906502936,119.50791149363201,137.94423943823148,78570.4545908646,No,Chemical,Dry,Trench,Yes,Single,Good,CoJ64,98.20384207106423,22.0,222.1507321599831,3.546222786681124,13.290844548323918,24.9495826608428,Red Rot,Low,High,5.337293434452958,Organic,182.7152993014905,Mid,No,12.813326271257,29.838085724506758,78.19885197659497,320.9894109170759,Uttarakhand,Haridwar,Bhagwanpur,Manglore_Cluster,2272.0,Uttam Sugar Mills Ltd,Uttarakhand,2024.0,Kharif,Mid,296.0989786130367
Feb,20.517544925231327,33.222250185810225,28.315407863376656,1366.6360433097457,528.2028751486168,,15.653425063963022,9:08,3.2990299423885214,5.103973921182392,20.844760835891424,28.0,0.0,Sandy,6.093365695407922,1.0781543493715129,1.3284967023533434,11.701113015524365,23.536711384603333,29.067230220933286,30.858389052735188,73.60489730925511,39.031390798576396,58.532220467113376,82.49241314635218,173.12496269421788,1.6076766653869488,4.006500865366773,0.4112922746357363,2.6797510856806106,24.01671194040296,High,,Flood,18.954634042995444,Good,2021-03-25 00:19:21,2022-05-13 05:44:29,390.0,12.339855067061762,118.7985646054673,116.44096718150716,,No,Chemical,Dry,Paired Row,Yes,Single,Poor,Co0238,71.02866566838608,23.0,255.16204083280837,2.9521035845856067,10.367048551206622,19.685323347920665,Smut,Medium,Medium,7.447267571791669,Organic,279.74384289804163,Late,Yes,47.75588766085519,30.057860647390633,78.08031098100162,313.6826354328847,Uttarakhand,Haridwar,Bhagwanpur,Jwalapur_Cluster,1831.0,Uttam Sugar Mills Ltd,Uttarakhand,2018.0,,Late,181.3444203707652
May,27.49317953829719,38.71584851686484,34.37920077505145,1512.7249326303252,,78.48140555013137,20.151470726846245,8:33,12.130065355623877,4.791795203665457,24.802300773463728,12.0,3.0,Sandy,7.883807884240623,1.6756963061197678,0.5495765992314583,,37.44373189309569,11.910714239665424,11.134973537111817,117.80245929627658,37.88035629071848,137.85298660053238,76.8416535617164,141.47714504417166,2.738745218895971,6.145264276399269,0.9137621550972648,6.367921444946319,18.04535827549737,Medium,1640.12577262578,Flood,14.92281224848364,Moderate,2021-12-30 03:58:40,2024-02-07 23:32:27,,7.917827476345204,81.29275125453839,76.89389564657225,54575.58080359889,No,Chemical,Moist,Circular,Yes,Split,Good,Co0238,66.87010092166119,12.0,217.4462165668733,2.646296498591909,17.310680421751023,18.79372736845527,Red Rot,Low,High,2.566036526419677,DAP,,Mid,No,,30.134055996189183,78.20211777588325,342.462670327755,Uttarakhand,Haridwar,Laksar,Bahadrabad_Cluster,2451.0,Uttam Sugar Mills Ltd,Uttarakhand,2019.0,Rabi,Early,300.37974320469203
Jan,5.90039495183848,13.766032336988177,10.02921032621362,1939.9097886968655,748.7754128003025,61.129384906565676,24.58733018475435,7:17,7.598730870319415,7.620085221547921,17.451275028081433,24.0,7.0,Clay,6.665588518810461,1.6626829074467149,1.0736815284746006,25.08982576385793,47.02234963092622,19.329946538324908,25.750115929420083,140.4127619309985,40.96857832286496,145.70619516645897,104.42051697664837,82.50114847471662,4.615338463855354,3.808452271938773,1.0333184737692676,6.732571666103211,29.317388301280474,Low,825.3114001060337,Drip,,Moderate,2020-10-20 19:52:39,2023-11-22 09:21:53,258.0,13.797790920521443,81.0022895068709,76.01847323339385,122356.20705425918,No,Chemical,Dry,Trench,Yes,Single,Poor,Co98014,91.32701856999728,12.0,248.79399282612496,4.855089223712497,13.95112902667568,22.35756676482032,None,High,Medium,1.4879728426823624,Organic,289.32129802745436,Mid,Yes,47.95056009712373,29.90649585220739,78.04949382994135,284.6302135822246,Uttarakhand,Haridwar,Khanpur,Narsan_Cluster,1311.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,,Mid,140.54805366897256
Jan,,15.623351914687133,10.613309556432826,1582.129374582924,470.5440489926824,61.72663922923661,18.004029092676344,5:44,5.11302031061571,7.796714924003199,23.438867143587636,10.0,7.0,Loamy,7.047448389190594,0.8440059829117861,0.4923531125834217,15.538633949020806,30.610261138007324,18.438825093708793,22.43182147096067,,,141.61857041507534,78.34339377276564,152.8292303478109,2.7685685462498233,8.107309223934699,0.41672441370165086,1.6537504774005052,20.504828413784075,Medium,1299.7932538478926,Drip,5.6300884666124755,Good,2022-01-18 17:03:27,2023-03-05 11:22:59,310.0,11.725584395516726,85.944461878147,131.4218801085663,84403.12644283712,No,Chemical,Dry,Trench,Yes,Single,Moderate,Co98014,66.53803134665677,7.0,245.35799576864883,2.0493493096570807,23.039303023785674,15.492780696110767,Leaf Scald,Low,High,7.497802018386867,DAP,81.38450575418777,Early,No,44.012008196326164,30.18784534473925,78.0429589241818,260.91922110481386,Uttarakhand,Haridwar,Khanpur,Bahadrabad_Cluster,1668.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Kharif,Late,230.65075753893603
